api_spot_id,receive,type
2764587,0.0,SPOT
2773394,0.0,SPOT
2765225,0.0,SPOT
1955953,0.0,SPOT
1619788,0.0,SPOT
125565,0.0,SPOT
800798,0.0,SPOT
127185,0.0,SPOT
127291,0.0,SPOT
1619817,0.0,SPOT
128817,0.0,SPOT
128814,0.0,SPOT
250326,0.0,SPOT
128813,0.0,SPOT
250304,0.0,SPOT
971122,0.0,SPOT
2765210,0.0,SPOT
128385,0.0,SPOT
2684765,0.0,SPOT
128823,0.0,SPOT
128824,0.0,SPOT
125534,0.0,SPOT
127802,0.0,SPOT
128030,0.0,SPOT
125566,0.0,SPOT
3061177,0.0,SPOT
129291,0.0,SPOT
1705415,0.0,SPOT
125502,0.0,SPOT
3061178,0.0,SPOT
2755455,0.0,SPOT
2599177,0.0,SPOT
631066,0.0,SPOT
2612802,0.0,SPOT
125564,0.0,SPOT
1614793,0.0,SPOT
1615571,0.0,SPOT
2765246,0.0,SPOT
125567,0.0,SPOT
3340348,0.0,SPOT
662637,0.0,SPOT
125563,0.0,SPOT
3019714,0.0,SPOT
128080,0.0,SPOT
2638437,0.0,SPOT
2757536,0.0,SPOT
3032396,0.0,SPOT
2734903,0.0,SPOT
2753929,0.0,SPOT
3026607,0.0,SPOT
3112041,0.0,SPOT
3057021,0.0,SPOT
1607032,0.0,SPOT
1954998,0.0,SPOT
126157,0.0,SPOT
2732510,0.0,SPOT
129391,0.0,SPOT
2761294,0.0,SPOT
2591792,0.0,SPOT
126812,0.0,SPOT
128474,0.0,SPOT
3080121,0.0,SPOT
1432440,0.0,SPOT
1431823,0.0,SPOT
125908,0.0,SPOT
126346,0.0,SPOT
2774540,0.0,SPOT
1887873,0.0,SPOT
1889809,0.0,SPOT
126501,0.0,SPOT
3385851,0.0,SPOT
294476,0.0,SPOT
127147,0.0,SPOT
3090750,0.0,SPOT
127082,0.0,SPOT
125899,0.0,SPOT
893974,0.0,SPOT
947611,0.0,SPOT
2786133,0.0,SPOT
3385911,0.0,SPOT
129439,0.0,SPOT
2774063,0.0,SPOT
1889833,0.0,SPOT
3403616,0.0,SPOT
2796929,0.0,SPOT
